,Country,League,Date,Local,Local Goals,Away Goals,Away
509,Spain,La Liga,28-10-2022,Valencia,0,1,Barcelona
510,Spain,La Liga,07-11-2022,Osasuna,1,2,Barcelona
511,Spain,La Liga,27-01-2023,Girona,0,1,Barcelona
512,Spain,La Liga,31-01-2023,Betis,1,2,Barcelona
513,Spain,La Liga,11-02-2023,Villarreal,0,1,Barcelona
514,Spain,La Liga,31-03-2023,Elche,0,4,Barcelona
515,Spain,La Liga,15-04-2023,Getafe,0,0,Barcelona
516,Spain,La Liga,25-04-2023,Vallecano,2,1,Barcelona
517,Spain,La Liga,13-05-2023,Espanol,2,4,Barcelona
518,Spain,La Liga,22-05-2023,Valladolid,3,1,Barcelona
519,Spain,La Liga,03-06-2023,Celta,2,1,Barcelona
520,Spain,La Liga,14-08-2022,Betis,3,0,Elche
521,Spain,La Liga,25-08-2022,Betis,1,0,Osasuna
522,Spain,La Liga,10-09-2022,Betis,1,0,Villarreal
523,Spain,La Liga,17-09-2022,Betis,2,1,Girona
524,Spain,La Liga,05-11-2022,Betis,1,1,Sevilla
525,Spain,La Liga,03-02-2023,Betis,3,4,Celta
526,Spain,La Liga,17-02-2023,Betis,2,1,Valladolid
527,Spain,La Liga,04-03-2023,Betis,0,0,Real Madrid
528,Spain,La Liga,18-03-2023,Betis,1,0,Mallorca
529,Spain,La Liga,08-04-2023,Betis,0,2,Cadiz
530,Spain,La Liga,14-04-2023,Betis,3,1,Espanol
531,Spain,La Liga,24-04-2023,Betis,0,0,Sociedad
532,Spain,La Liga,14-05-2023,Betis,3,1,Vallecano
533,Spain,La Liga,23-05-2023,Betis,0,1,Getafe
534,Spain,La Liga,03-06-2023,Betis,1,1,Valencia
535,Spain,La Liga,19-08-2022,Mallorca,1,2,Betis
536,Spain,La Liga,02-09-2022,Real Madrid,2,1,Betis
537,Spain,La Liga,01-10-2022,Celta,1,0,Betis
538,Spain,La Liga,08-10-2022,Valladolid,0,0,Betis
539,Spain,La Liga,18-10-2022,Cadiz,0,0,Betis
540,Spain,La Liga,29-10-2022,Sociedad,0,2,Betis
541,Spain,La Liga,09-11-2022,Valencia,3,0,Betis
542,Spain,La Liga,07-01-2023,Vallecano,1,2,Betis
543,Spain,La Liga,20-01-2023,Espanol,1,0,Betis
544,Spain,La Liga,27-01-2023,Getafe,0,1,Betis
545,Spain,La Liga,23-02-2023,Elche,2,3,Betis
546,Spain,La Liga,11-03-2023,Villarreal,1,1,Betis
547,Spain,La Liga,21-04-2023,Osasuna,3,2,Betis
548,Spain,La Liga,20-05-2023,Sevilla,0,0,Betis
549,Spain,La Liga,27-05-2023,Girona,1,2,Betis
550,Spain,La Liga,13-08-2022,Cadiz,0,1,Sociedad
551,Spain,La Liga,30-09-2022,Cadiz,0,0,Villarreal
552,Spain,La Liga,08-10-2022,Cadiz,2,2,Espanol
553,Spain,La Liga,15-01-2023,Cadiz,1,1,Elche
554,Spain,La Liga,27-01-2023,Cadiz,2,0,Mallorca
555,Spain,La Liga,09-02-2023,Cadiz,2,0,Girona
556,Spain,La Liga,24-02-2023,Cadiz,1,0,Vallecano
557,Spain,La Liga,09-03-2023,Cadiz,2,2,Getafe
558,Spain,La Liga,31-03-2023,Cadiz,0,2,Sevilla
559,Spain,La Liga,14-04-2023,Cadiz,0,2,Real Madrid
560,Spain,La Liga,24-04-2023,Cadiz,0,1,Osasuna
561,Spain,La Liga,29-04-2023,Cadiz,2,1,Valencia
562,Spain,La Liga,18-05-2023,Cadiz,2,0,Valladolid
563,Spain,La Liga,27-05-2023,Cadiz,1,0,Celta
564,Spain,La Liga,19-08-2022,Osasuna,2,0,Cadiz
565,Spain,La Liga,01-09-2022,Celta,3,0,Cadiz
566,Spain,La Liga,15-09-2022,Valladolid,0,1,Cadiz
567,Spain,La Liga,14-10-2022,Girona,1,1,Cadiz
568,Spain,La Liga,21-10-2022,Vallecano,5,1,Cadiz
569,Spain,La Liga,04-11-2022,Getafe,0,0,Cadiz
570,Spain,La Liga,09-11-2022,Real Madrid,2,1,Cadiz
571,Spain,La Liga,05-01-2023,Valencia,0,1,Cadiz
572,Spain,La Liga,20-01-2023,Sevilla,1,0,Cadiz
573,Spain,La Liga,02-03-2023,Sociedad,0,0,Cadiz
574,Spain,La Liga,20-04-2023,Espanol,0,0,Cadiz
575,Spain,La Liga,11-05-2023,Mallorca,1,0,Cadiz
576,Spain,La Liga,23-05-2023,Villarreal,2,0,Cadiz
577,Spain,La Liga,03-06-2023,Elche,1,1,Cadiz
578,Spain,La Liga,12-08-2022,Celta,2,2,Espanol
579,Spain,La Liga,19-08-2022,Celta,1,4,Real Madrid
580,Spain,La Liga,15-10-2022,Celta,1,2,Sociedad
581,Spain,La Liga,23-10-2022,Celta,1,1,Getafe
582,Spain,La Liga,04-11-2022,Celta,1,2,Osasuna
583,Spain,La Liga,29-12-2022,Celta,1,1,Sevilla
584,Spain,La Liga,12-01-2023,Celta,1,1,Villarreal
585,Spain,La Liga,25-02-2023,Celta,3,0,Valladolid
586,Spain,La Liga,10-03-2023,Celta,3,0,Vallecano
587,Spain,La Liga,16-04-2023,Celta,0,1,Mallorca
588,Spain,La Liga,25-04-2023,Celta,1,0,Elche
589,Spain,La Liga,13-05-2023,Celta,1,2,Valencia
590,Spain,La Liga,22-05-2023,Celta,1,1,Girona
591,Spain,La Liga,25-08-2022,Girona,0,1,Celta
592,Spain,La Liga,16-09-2022,Valencia,3,0,Celta
593,Spain,La Liga,18-10-2022,Valladolid,4,1,Celta
594,Spain,La Liga,09-11-2022,Vallecano,0,0,Celta
595,Spain,La Liga,05-01-2023,Elche,0,1,Celta
596,Spain,La Liga,19-01-2023,Mallorca,1,0,Celta
597,Spain,La Liga,17-02-2023,Sociedad,1,1,Celta
598,Spain,La Liga,05-03-2023,Osasuna,0,0,Celta
599,Spain,La Liga,17-03-2023,Espanol,1,3,Celta
600,Spain,La Liga,06-04-2023,Sevilla,2,2,Celta
601,Spain,La Liga,21-04-2023,Real Madrid,2,0,Celta
602,Spain,La Liga,29-04-2023,Villarreal,3,1,Celta
603,Spain,La Liga,02-05-2023,Getafe,1,0,Celta
604,Spain,La Liga,26-08-2022,Elche,0,1,Sociedad
605,Spain,La Liga,09-10-2022,Elche,1,1,Mallorca
606,Spain,La Liga,18-10-2022,Elche,0,3,Real Madrid
607,Spain,La Liga,30-10-2022,Elche,0,1,Getafe
608,Spain,La Liga,07-11-2022,Elche,1,2,Girona
609,Spain,La Liga,21-01-2023,Elche,1,1,Osasuna
610,Spain,La Liga,03-02-2023,Elche,3,1,Villarreal
611,Spain,La Liga,18-02-2023,Elche,0,1,Espanol
612,Spain,La Liga,10-03-2023,Elche,1,1,Valladolid
613,Spain,La Liga,22-04-2023,Elche,0,2,Valencia
614,Spain,La Liga,28-04-2023,Elche,4,0,Vallecano
615,Spain,La Liga,23-05-2023,Elche,1,1,Sevilla
616,Spain,La Liga,03-09-2022,Villarreal,4,0,Elche
617,Spain,La Liga,02-10-2022,Vallecano,2,1,Elche
618,Spain,La Liga,14-10-2022,Valencia,2,2,Elche
619,Spain,La Liga,22-10-2022,Espanol,2,2,Elche
620,Spain,La Liga,04-11-2022,Valladolid,2,1,Elche
621,Spain,La Liga,27-01-2023,Sevilla,3,0,Elche
622,Spain,La Liga,14-02-2023,Real Madrid,4,0,Elche
623,Spain,La Liga,03-03-2023,Mallorca,0,1,Elche
624,Spain,La Liga,18-03-2023,Sociedad,2,0,Elche
625,Spain,La Liga,07-04-2023,Osasuna,2,1,Elche
626,Spain,La Liga,15-04-2023,Girona,2,0,Elche
627,Spain,La Liga,19-05-2023,Getafe,1,1,Elche
628,Spain,La Liga,18-08-2022,Espanol,0,2,Vallecano
629,Spain,La Liga,27-08-2022,Espanol,1,3,Real Madrid
630,Spain,La Liga,09-09-2022,Espanol,2,3,Sevilla
631,Spain,La Liga,01-10-2022,Espanol,2,2,Valencia
632,Spain,La Liga,15-10-2022,Espanol,1,0,Valladolid
633,Spain,La Liga,08-11-2022,Espanol,0,1,Villarreal
634,Spain,La Liga,06-01-2023,Espanol,2,2,Girona
635,Spain,La Liga,03-02-2023,Espanol,1,1,Osasuna
636,Spain,La Liga,12-02-2023,Espanol,2,3,Sociedad
637,Spain,La Liga,24-02-2023,Espanol,2,1,Mallorca
638,Spain,La Liga,29-04-2023,Espanol,1,0,Getafe
639,Spain,La Liga,17-09-2022,Sociedad,2,1,Espanol
640,Spain,La Liga,19-10-2022,Osasuna,1,0,Espanol
641,Spain,La Liga,27-10-2022,Mallorca,1,1,Espanol
642,Spain,La Liga,14-01-2023,Getafe,1,2,Espanol
643,Spain,La Liga,04-03-2023,Valladolid,2,1,Espanol
644,Spain,La Liga,10-03-2023,Real Madrid,3,1,Espanol
645,Spain,La Liga,31-03-2023,Girona,2,1,Espanol
646,Spain,La Liga,26-04-2023,Villarreal,4,2,Espanol
647,Spain,La Liga,03-05-2023,Sevilla,3,2,Espanol
648,Spain,La Liga,20-05-2023,Vallecano,1,2,Espanol
649,Spain,La Liga,27-05-2023,Valencia,2,2,Espanol
650,Spain,La Liga,27-08-2022,Getafe,0,0,Villarreal
651,Spain,La Liga,10-09-2022,Getafe,2,1,Sociedad
652,Spain,La Liga,30-09-2022,Getafe,2,3,Valladolid
653,Spain,La Liga,07-10-2022,Getafe,0,1,Real Madrid
654,Spain,La Liga,29-12-2022,Getafe,2,0,Mallorca
655,Spain,La Liga,11-02-2023,Getafe,1,1,Vallecano
656,Spain,La Liga,19-02-2023,Getafe,1,0,Valencia
657,Spain,La Liga,03-03-2023,Getafe,3,2,Girona
658,Spain,La Liga,18-03-2023,Getafe,2,0,Sevilla
659,Spain,La Liga,27-05-2023,Getafe,2,1,Osasuna
660,Spain,La Liga,21-08-2022,Girona,3,1,Getafe
661,Spain,La Liga,03-09-2022,Valencia,5,1,Getafe
662,Spain,La Liga,17-09-2022,Osasuna,0,2,Getafe
663,Spain,La Liga,13-10-2022,Vallecano,0,0,Getafe
664,Spain,La Liga,07-01-2023,Sevilla,2,1,Getafe
665,Spain,La Liga,26-02-2023,Villarreal,2,1,Getafe
666,Spain,La Liga,07-04-2023,Sociedad,2,0,Getafe
667,Spain,La Liga,22-04-2023,Mallorca,3,1,Getafe
668,Spain,La Liga,12-05-2023,Real Madrid,1,0,Getafe
669,Spain,La Liga,03-06-2023,Valladolid,0,0,Getafe
670,Spain,La Liga,08-09-2022,Girona,2,1,Valladolid
671,Spain,La Liga,01-10-2022,Girona,3,5,Sociedad
672,Spain,La Liga,22-10-2022,Girona,1,1,Osasuna
673,Spain,La Liga,28-12-2022,Girona,2,2,Vallecano
674,Spain,La Liga,13-01-2023,Girona,2,1,Sevilla
675,Spain,La Liga,04-02-2023,Girona,1,0,Valencia
676,Spain,La Liga,24-04-2023,Girona,4,2,Real Madrid
677,Spain,La Liga,03-05-2023,Girona,2,1,Mallorca
678,Spain,La Liga,19-05-2023,Girona,1,2,Villarreal
679,Spain,La Liga,13-08-2022,Valencia,1,0,Girona
680,Spain,La Liga,02-09-2022,Mallorca,1,1,Girona
681,Spain,La Liga,29-10-2022,Real Madrid,1,1,Girona
682,Spain,La Liga,21-01-2023,Villarreal,1,0,Girona
683,Spain,La Liga,17-03-2023,Vallecano,2,2,Girona
684,Spain,La Liga,21-04-2023,Valladolid,1,0,Girona
685,Spain,La Liga,30-04-2023,Sevilla,0,2,Girona
686,Spain,La Liga,12-05-2023,Sociedad,2,2,Girona
687,Spain,La Liga,03-06-2023,Osasuna,2,1,Girona
688,Spain,La Liga,14-10-2022,Mallorca,0,1,Sevilla
689,Spain,La Liga,06-01-2023,Mallorca,1,0,Valladolid
690,Spain,La Liga,04-02-2023,Mallorca,1,0,Real Madrid
691,Spain,La Liga,17-02-2023,Mallorca,4,2,Villarreal
692,Spain,La Liga,11-03-2023,Mallorca,1,1,Sociedad
693,Spain,La Liga,30-03-2023,Mallorca,0,0,Osasuna
694,Spain,La Liga,24-05-2023,Mallorca,1,0,Valencia
695,Spain,La Liga,03-06-2023,Mallorca,3,0,Vallecano
696,Spain,La Liga,26-08-2022,Vallecano,0,2,Mallorca
697,Spain,La Liga,10-09-2022,Real Madrid,4,1,Mallorca
698,Spain,La Liga,18-10-2022,Sociedad,1,0,Mallorca
699,Spain,La Liga,21-10-2022,Valencia,1,2,Mallorca
700,Spain,La Liga,05-11-2022,Villarreal,0,2,Mallorca
701,Spain,La Liga,13-01-2023,Osasuna,1,0,Mallorca
702,Spain,La Liga,10-02-2023,Sevilla,2,0,Mallorca
703,Spain,La Liga,08-04-2023,Valladolid,3,3,Mallorca
704,Spain,La Liga,11-08-2022,Osasuna,2,1,Sevilla
705,Spain,La Liga,03-09-2022,Osasuna,2,1,Vallecano
706,Spain,La Liga,06-10-2022,Osasuna,1,2,Valencia
707,Spain,La Liga,29-10-2022,Osasuna,2,0,Valladolid
708,Spain,La Liga,17-02-2023,Osasuna,0,2,Real Madrid
709,Spain,La Liga,18-03-2023,Osasuna,0,3,Villarreal
710,Spain,La Liga,27-04-2023,Osasuna,0,2,Sociedad
711,Spain,La Liga,01-10-2022,Real Madrid,1,1,Osasuna
712,Spain,La Liga,16-10-2022,Villarreal,2,0,Osasuna
713,Spain,La Liga,30-12-2022,Sociedad,2,0,Osasuna
714,Spain,La Liga,11-02-2023,Valladolid,0,0,Osasuna
715,Spain,La Liga,25-02-2023,Sevilla,2,3,Osasuna
716,Spain,La Liga,10-03-2023,Valencia,1,0,Osasuna
717,Spain,La Liga,13-04-2023,Vallecano,2,1,Osasuna
718,Spain,La Liga,21-10-2022,Real Madrid,3,1,Sevilla
719,Spain,La Liga,28-01-2023,Real Madrid,0,0,Sociedad
720,Spain,La Liga,01-02-2023,Real Madrid,2,0,Valencia
721,Spain,La Liga,01-04-2023,Real Madrid,6,0,Valladolid
722,Spain,La Liga,07-04-2023,Real Madrid,2,3,Villarreal
723,Spain,La Liga,23-05-2023,Real Madrid,2,1,Vallecano
724,Spain,La Liga,06-11-2022,Vallecano,3,2,Real Madrid
725,Spain,La Liga,29-12-2022,Valladolid,0,2,Real Madrid
726,Spain,La Liga,06-01-2023,Villarreal,2,1,Real Madrid
727,Spain,La Liga,01-05-2023,Sociedad,2,0,Real Madrid
728,Spain,La Liga,20-05-2023,Valencia,1,0,Real Madrid
729,Spain,La Liga,26-05-2023,Sevilla,1,2,Real Madrid
730,Spain,La Liga,18-08-2022,Sevilla,1,1,Valladolid
731,Spain,La Liga,17-10-2022,Sevilla,1,1,Valencia
732,Spain,La Liga,28-10-2022,Sevilla,0,1,Vallecano
733,Spain,La Liga,08-11-2022,Sevilla,1,2,Sociedad
734,Spain,La Liga,22-04-2023,Sevilla,2,1,Villarreal
735,Spain,La Liga,17-09-2022,Villarreal,1,1,Sevilla
736,Spain,La Liga,18-02-2023,Vallecano,1,1,Sevilla
737,Spain,La Liga,15-04-2023,Valencia,0,2,Sevilla
738,Spain,La Liga,13-05-2023,Valladolid,0,3,Sevilla
739,Spain,La Liga,03-06-2023,Sociedad,2,1,Sevilla
740,Spain,La Liga,08-10-2022,Sociedad,1,0,Villarreal
741,Spain,La Liga,05-11-2022,Sociedad,1,1,Valencia
742,Spain,La Liga,04-02-2023,Sociedad,0,1,Valladolid
743,Spain,La Liga,21-04-2023,Sociedad,2,1,Vallecano
744,Spain,La Liga,21-10-2022,Valladolid,1,0,Sociedad
745,Spain,La Liga,20-01-2023,Vallecano,0,2,Sociedad
746,Spain,La Liga,24-02-2023,Valencia,1,0,Sociedad
747,Spain,La Liga,01-04-2023,Villarreal,2,0,Sociedad
748,Spain,La Liga,02-04-2023,Valencia,1,1,Vallecano
749,Spain,La Liga,26-04-2023,Valencia,2,1,Valladolid
750,Spain,La Liga,02-05-2023,Valencia,1,1,Villarreal
751,Spain,La Liga,09-09-2022,Vallecano,2,1,Valencia
752,Spain,La Liga,30-12-2022,Villarreal,2,1,Valencia
753,Spain,La Liga,28-01-2023,Valladolid,1,0,Valencia
754,Spain,La Liga,12-08-2022,Valladolid,0,3,Villarreal
755,Spain,La Liga,13-01-2023,Valladolid,0,1,Vallecano
756,Spain,La Liga,14-04-2023,Villarreal,1,2,Valladolid
757,Spain,La Liga,03-05-2023,Vallecano,2,1,Valladolid
758,Spain,La Liga,27-05-2023,Vallecano,2,1,Villarreal
759,Spain,La Liga,29-01-2023,Villarreal,0,1,Vallecano
760,Germany,Bundesliga,05-08-2022,Augsburg,0,4,Freiburg
761,Germany,Bundesliga,19-08-2022,Augsburg,1,2,Mainz
762,Germany,Bundesliga,03-09-2022,Augsburg,0,2,Hertha
763,Germany,Bundesliga,16-09-2022,Augsburg,1,0,Bayern Munich
764,Germany,Bundesliga,07-10-2022,Augsburg,1,1,Wolfsburg
765,Germany,Bundesliga,21-10-2022,Augsburg,3,3,RB Leipzig
766,Germany,Bundesliga,04-11-2022,Augsburg,1,2,Ein Frankfurt
767,Germany,Bundesliga,11-11-2022,Augsburg,0,1,Bochum
768,Germany,Bundesliga,24-01-2023,Augsburg,1,0,M''gladbach
769,Germany,Bundesliga,02-02-2023,Augsburg,1,0,Leverkusen
770,Germany,Bundesliga,16-02-2023,Augsburg,1,0,Hoffenheim
771,Germany,Bundesliga,03-03-2023,Augsburg,2,1,Werder Bremen
772,Germany,Bundesliga,17-03-2023,Augsburg,1,1,Schalke 04
773,Germany,Bundesliga,07-04-2023,Augsburg,1,3,FC Koln
774,Germany,Bundesliga,20-04-2023,Augsburg,1,1,Stuttgart
775,Germany,Bundesliga,05-05-2023,Augsburg,1,0,Union Berlin
776,Germany,Bundesliga,20-05-2023,Augsburg,0,3,Dortmund
777,Germany,Bundesliga,12-08-2022,Leverkusen,1,2,Augsburg
778,Germany,Bundesliga,26-08-2022,Hoffenheim,1,0,Augsburg
779,Germany,Bundesliga,08-09-2022,Werder Bremen,0,1,Augsburg
780,Germany,Bundesliga,01-10-2022,Schalke 04,2,3,Augsburg
781,Germany,Bundesliga,15-10-2022,FC Koln,3,2,Augsburg
782,Germany,Bundesliga,28-10-2022,Stuttgart,2,1,Augsburg
783,Germany,Bundesliga,08-11-2022,Union Berlin,2,2,Augsburg
784,Germany,Bundesliga,21-01-2023,Dortmund,4,3,Augsburg
785,Germany,Bundesliga,27-01-2023,Freiburg,3,1,Augsburg
786,Germany,Bundesliga,10-02-2023,Mainz,3,1,Augsburg
787,Germany,Bundesliga,24-02-2023,Hertha,2,0,Augsburg
788,Germany,Bundesliga,10-03-2023,Bayern Munich,5,3,Augsburg
789,Germany,Bundesliga,31-03-2023,Wolfsburg,2,2,Augsburg
790,Germany,Bundesliga,14-04-2023,RB Leipzig,3,2,Augsburg
791,Germany,Bundesliga,28-04-2023,Ein Frankfurt,1,1,Augsburg
792,Germany,Bundesliga,12-05-2023,Bochum,3,2,Augsburg
793,Germany,Bundesliga,26-05-2023,M''gladbach,2,0,Augsburg
794,Germany,Bundesliga,13-08-2022,Bayern Munich,2,0,Wolfsburg
795,Germany,Bundesliga,26-08-2022,Bayern Munich,1,1,M''gladbach
796,Germany,Bundesliga,09-09-2022,Bayern Munich,2,2,Stuttgart
797,Germany,Bundesliga,29-09-2022,Bayern Munich,4,0,Leverkusen
798,Germany,Bundesliga,15-10-2022,Bayern Munich,5,0,Freiburg
799,Germany,Bundesliga,28-10-2022,Bayern Munich,6,2,Mainz
800,Germany,Bundesliga,07-11-2022,Bayern Munich,6,1,Werder Bremen
801,Germany,Bundesliga,23-01-2023,Bayern Munich,1,1,FC Koln
802,Germany,Bundesliga,27-01-2023,Bayern Munich,1,1,Ein Frankfurt
803,Germany,Bundesliga,10-02-2023,Bayern Munich,3,0,Bochum
804,Germany,Bundesliga,25-02-2023,Bayern Munich,3,0,Union Berlin
805,Germany,Bundesliga,31-03-2023,Bayern Munich,4,2,Dortmund
806,Germany,Bundesliga,14-04-2023,Bayern Munich,1,1,Hoffenheim
807,Germany,Bundesliga,29-04-2023,Bayern Munich,2,0,Hertha
808,Germany,Bundesliga,12-05-2023,Bayern Munich,6,0,Schalke 04
809,Germany,Bundesliga,19-05-2023,Bayern Munich,1,3,RB Leipzig
810,Germany,Bundesliga,04-08-2022,Ein Frankfurt,1,6,Bayern Munich
811,Germany,Bundesliga,20-08-2022,Bochum,0,7,Bayern Munich
812,Germany,Bundesliga,02-09-2022,Union Berlin,1,1,Bayern Munich
813,Germany,Bundesliga,07-10-2022,Dortmund,2,2,Bayern Munich
814,Germany,Bundesliga,21-10-2022,Hoffenheim,0,2,Bayern Munich
815,Germany,Bundesliga,04-11-2022,Hertha,2,3,Bayern Munich
816,Germany,Bundesliga,11-11-2022,Schalke 04,0,2,Bayern Munich
817,Germany,Bundesliga,19-01-2023,RB Leipzig,1,1,Bayern Munich
818,Germany,Bundesliga,04-02-2023,Wolfsburg,2,4,Bayern Munich
819,Germany,Bundesliga,17-02-2023,M''gladbach,3,2,Bayern Munich
820,Germany,Bundesliga,03-03-2023,Stuttgart,1,2,Bayern Munich
821,Germany,Bundesliga,18-03-2023,Leverkusen,2,1,Bayern Munich
822,Germany,Bundesliga,07-04-2023,Freiburg,0,1,Bayern Munich
823,Germany,Bundesliga,21-04-2023,Mainz,3,1,Bayern Munich
824,Germany,Bundesliga,05-05-2023,Werder Bremen,1,2,Bayern Munich
825,Germany,Bundesliga,26-05-2023,FC Koln,1,2,Bayern Munich
826,Germany,Bundesliga,05-08-2022,Bochum,1,2,Mainz
827,Germany,Bundesliga,02-09-2022,Bochum,0,2,Werder Bremen
828,Germany,Bundesliga,17-09-2022,Bochum,1,1,FC Koln
829,Germany,Bundesliga,07-10-2022,Bochum,3,0,Ein Frankfurt
830,Germany,Bundesliga,22-10-2022,Bochum,2,1,Union Berlin
831,Germany,Bundesliga,07-11-2022,Bochum,2,1,M''gladbach
832,Germany,Bundesliga,20-01-2023,Bochum,3,1,Hertha
833,Germany,Bundesliga,03-02-2023,Bochum,5,2,Hoffenheim
834,Germany,Bundesliga,17-02-2023,Bochum,0,2,Freiburg
835,Germany,Bundesliga,03-03-2023,Bochum,0,2,Schalke 04
836,Germany,Bundesliga,17-03-2023,Bochum,1,0,RB Leipzig
837,Germany,Bundesliga,08-04-2023,Bochum,2,3,Stuttgart
838,Germany,Bundesliga,21-04-2023,Bochum,1,5,Wolfsburg
839,Germany,Bundesliga,27-04-2023,Bochum,1,1,Dortmund
840,Germany,Bundesliga,26-05-2023,Bochum,3,0,Leverkusen
841,Germany,Bundesliga,12-08-2022,Hoffenheim,3,2,Bochum
842,Germany,Bundesliga,25-08-2022,Freiburg,1,0,Bochum
843,Germany,Bundesliga,09-09-2022,Schalke 04,3,1,Bochum
844,Germany,Bundesliga,30-09-2022,RB Leipzig,4,0,Bochum
845,Germany,Bundesliga,14-10-2022,Stuttgart,4,1,Bochum
846,Germany,Bundesliga,28-10-2022,Wolfsburg,4,0,Bochum
847,Germany,Bundesliga,04-11-2022,Dortmund,3,0,Bochum
848,Germany,Bundesliga,24-01-2023,Leverkusen,2,0,Bochum
849,Germany,Bundesliga,27-01-2023,Mainz,5,2,Bochum
850,Germany,Bundesliga,24-02-2023,Werder Bremen,3,0,Bochum
851,Germany,Bundesliga,09-03-2023,FC Koln,0,2,Bochum
852,Germany,Bundesliga,30-03-2023,Ein Frankfurt,1,1,Bochum
853,Germany,Bundesliga,15-04-2023,Union Berlin,1,1,Bochum
854,Germany,Bundesliga,05-05-2023,M''gladbach,2,0,Bochum
855,Germany,Bundesliga,19-05-2023,Hertha,1,1,Bochum
856,Germany,Bundesliga,05-08-2022,Dortmund,1,0,Leverkusen
857,Germany,Bundesliga,19-08-2022,Dortmund,2,3,Werder Bremen
858,Germany,Bundesliga,01-09-2022,Dortmund,1,0,Hoffenheim
859,Germany,Bundesliga,16-09-2022,Dortmund,1,0,Schalke 04
860,Germany,Bundesliga,21-10-2022,Dortmund,5,0,Stuttgart
861,Germany,Bundesliga,03-02-2023,Dortmund,5,1,Freiburg
862,Germany,Bundesliga,18-02-2023,Dortmund,4,1,Hertha
863,Germany,Bundesliga,02-03-2023,Dortmund,2,1,RB Leipzig
864,Germany,Bundesliga,17-03-2023,Dortmund,6,1,FC Koln
865,Germany,Bundesliga,07-04-2023,Dortmund,2,1,Union Berlin
866,Germany,Bundesliga,21-04-2023,Dortmund,4,0,Ein Frankfurt
867,Germany,Bundesliga,06-05-2023,Dortmund,6,0,Wolfsburg
868,Germany,Bundesliga,12-05-2023,Dortmund,5,2,M''gladbach
869,Germany,Bundesliga,26-05-2023,Dortmund,2,2,Mainz
870,Germany,Bundesliga,11-08-2022,Freiburg,1,3,Dortmund
871,Germany,Bundesliga,26-08-2022,Hertha,0,1,Dortmund
872,Germany,Bundesliga,09-09-2022,RB Leipzig,3,0,Dortmund
873,Germany,Bundesliga,30-09-2022,FC Koln,3,2,Dortmund
874,Germany,Bundesliga,15-10-2022,Union Berlin,2,0,Dortmund
875,Germany,Bundesliga,28-10-2022,Ein Frankfurt,1,2,Dortmund
876,Germany,Bundesliga,07-11-2022,Wolfsburg,2,0,Dortmund
877,Germany,Bundesliga,10-11-2022,M''gladbach,4,2,Dortmund
878,Germany,Bundesliga,24-01-2023,Mainz,1,2,Dortmund
879,Germany,Bundesliga,28-01-2023,Leverkusen,0,2,Dortmund
880,Germany,Bundesliga,10-02-2023,Werder Bremen,0,2,Dortmund
881,Germany,Bundesliga,24-02-2023,Hoffenheim,0,1,Dortmund
882,Germany,Bundesliga,10-03-2023,Schalke 04,2,2,Dortmund
883,Germany,Bundesliga,14-04-2023,Stuttgart,3,3,Dortmund
884,Germany,Bundesliga,20-08-2022,Ein Frankfurt,1,1,FC Koln
885,Germany,Bundesliga,02-09-2022,Ein Frankfurt,4,0,RB Leipzig
886,Germany,Bundesliga,09-09-2022,Ein Frankfurt,0,1,Wolfsburg
887,Germany,Bundesliga,30-09-2022,Ein Frankfurt,2,0,Union Berlin
888,Germany,Bundesliga,14-10-2022,Ein Frankfurt,5,1,Leverkusen
889,Germany,Bundesliga,08-11-2022,Ein Frankfurt,4,2,Hoffenheim
890,Germany,Bundesliga,20-01-2023,Ein Frankfurt,3,0,Schalke 04
891,Germany,Bundesliga,03-02-2023,Ein Frankfurt,3,0,Hertha
892,Germany,Bundesliga,17-02-2023,Ein Frankfurt,2,0,Werder Bremen
893,Germany,Bundesliga,10-03-2023,Ein Frankfurt,1,1,Stuttgart
894,Germany,Bundesliga,14-04-2023,Ein Frankfurt,1,1,M''gladbach
895,Germany,Bundesliga,12-05-2023,Ein Frankfurt,3,0,Mainz
896,Germany,Bundesliga,26-05-2023,Ein Frankfurt,2,1,Freiburg
897,Germany,Bundesliga,12-08-2022,Hertha,1,1,Ein Frankfurt
898,Germany,Bundesliga,27-08-2022,Werder Bremen,3,4,Ein Frankfurt
899,Germany,Bundesliga,16-09-2022,Stuttgart,1,3,Ein Frankfurt
900,Germany,Bundesliga,21-10-2022,M''gladbach,1,3,Ein Frankfurt
901,Germany,Bundesliga,12-11-2022,Mainz,1,1,Ein Frankfurt
902,Germany,Bundesliga,24-01-2023,Freiburg,1,1,Ein Frankfurt
903,Germany,Bundesliga,11-02-2023,FC Koln,3,0,Ein Frankfurt
904,Germany,Bundesliga,24-02-2023,RB Leipzig,2,1,Ein Frankfurt
905,Germany,Bundesliga,04-03-2023,Wolfsburg,2,2,Ein Frankfurt
906,Germany,Bundesliga,18-03-2023,Union Berlin,2,0,Ein Frankfurt
907,Germany,Bundesliga,07-04-2023,Leverkusen,3,1,Ein Frankfurt
908,Germany,Bundesliga,05-05-2023,Hoffenheim,3,1,Ein Frankfurt
909,Germany,Bundesliga,19-05-2023,Schalke 04,2,2,Ein Frankfurt
910,Germany,Bundesliga,06-08-2022,FC Koln,3,1,Schalke 04
